LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
MUNICIPALITY OF MALACCA,FORT WARD,PROGRESSIVE,S. SHANMUGAM,MALE,47,,WON,Y
MUNICIPALITY OF MALACCA,FORT WARD,PROGRESSIVE,EE YEW KIM,MALE,47,,WON,Y
MUNICIPALITY OF MALACCA,FORT WARD,LABOUR,J.L. DE CRUZ,MALE,36,,WON,Y
MUNICIPALITY OF MALACCA,FORT WARD,REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF MALACCA,FORT WARD,TOTAL BALLOTS ISSUED,,,,,,
MUNICIPALITY OF MALACCA,FORT WARD,TOTAL ELECTORATE,,,,1642,,
MUNICIPALITY OF MALACCA,FORT WARD,TURNOUT (%),,,,,,
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,PROGRESSIVE,ALI BIN MAIDIN,MALE,54,,WON,Y
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,LABOUR,AMY JOSEPH,FEMALE,38,,WON,Y
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,INDEPENDENT,N.M. GHOUSE,MALE,46,,WON,Y
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,TOTAL BALLOTS ISSUED,,,,,,
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,TOTAL ELECTORATE,,,,2167,,
MUNICIPALITY OF MALACCA,BUKIT CHINA WARD,TURNOUT (%),,,,,,
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,PROGRESSIVE,P.M.G. MAHINDASA,MALE,,,WON,Y
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,LABOUR,V.E. DIAS,MALE,61,,WON,Y
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,UMNO,HASHIM GHANI,MALE,56,,WON,Y
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,TOTAL BALLOTS ISSUED,,,,,,
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,TOTAL ELECTORATE,,,,1505,,
MUNICIPALITY OF MALACCA,TRANQUERAH WARD,TURNOUT (%),,,,,,
