LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,UMNO - MCA,CHAN CHEE HONG,MALE,,840,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,UMNO - MCA,CHEAH EWE KEAT,MALE,50,833,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,UMNO - MCA,DOUGLAS K. K. LEE,MALE,29,778,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,LABOUR,K. C. CHIA,MALE,,645,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,IMP,T. R. MARKS,MALE,,530,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,IMP,CHUA BOON GUAN,MALE,,452,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,IMP,E. RAMACHANDRAM,FEMALE,,419,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,LABOUR,HO TEE CHIM,MALE,,377,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,41,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1785,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,1414,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL SPOILED BALLOT PAPERS,,,,1,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL BALLOT PAPERS ISSUED,,,,3200,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL ELECTORS,,,,2563,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,INDEPENDENT,S.C. E'SINGAM,MALE,,718,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,IMP,K.L. DEVASER,MALE,,577,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,IMP,DEVAKI KRISHNAN,FEMALE,29,570,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,UMNO - MCA,AHMAD BIN HAJI MAHMOOD,MALE,,517,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,UMNO - MCA,RAJA MOHAHMED BIN RAJA ALLANG,MALE,,508,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,LABOUR,S.KARALASINGAM,MALE,,466,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,IMP,T. RAJENDRA,MALE,,422,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,UMNO - MCA,ELSIE SOMASUNDRAM,FEMALE,,230,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,59,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL BALLOT PAPERS FOUND IN BALLOT BOX,,,,1672,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL UNUSED BALLOT PAPERS UNDETACHED FROM BALLOT BOOK,,,,1123,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL SPOILED BALLOT PAPERS,,,,5,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL BALLOT PAPERS ISSUED,,,,2800,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL ELECTORS,,,,2203,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,UMNO - MCA,CHAN KWONG-HON,MALE,,871,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,UMNO - MCA,ONG YOKE LIN,MALE,35,856,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,UMNO - MCA,Y. T. LEE,MALE,47,750,WON,
