LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF SEREMBAN,TEMIANG,UMNO - MCA,BALL,CHIN SEE YIN
TOWN COUNCIL OF SEREMBAN,TEMIANG,UMNO - MCA,HAMMER,JAMALUDIN AJI
TOWN COUNCIL OF SEREMBAN,TEMIANG,LABOUR,DOG,LAM TECK CHOON
TOWN COUNCIL OF SEREMBAN,TEMIANG,UMNO - MCA,CHAIR,LIM KEE SIONG
TOWN COUNCIL OF SEREMBAN,TEMIANG,INDEPENDENT,SAW,B. H. TAN
TOWN COUNCIL OF SEREMBAN,LAKE,INDEPENDENT,TEAPOT,KAT FYE HIN
TOWN COUNCIL OF SEREMBAN,LAKE,UMNO - MCA,CLOCK,LEE TEE SIONG
TOWN COUNCIL OF SEREMBAN,LAKE,INDEPENDENT,WHEEL,SINGAM
TOWN COUNCIL OF SEREMBAN,LAKE,INDEPENDENT,GRAMAPHONE,JOSEPH SIOW LOONG HIN
TOWN COUNCIL OF SEREMBAN,LAKE,INDEPENDENT,ANCHOR,SUPPIAH
TOWN COUNCIL OF SEREMBAN,LAKE,UMNO - MCA,SHIP,TUNKU ASIAH
TOWN COUNCIL OF SEREMBAN,LAKE,UMNO - MCA,BASKET,WONG NAM CHING
TOWN COUNCIL OF SEREMBAN,LOBAK,UMNO - MCA,HAT,HAN HUI FONG
TOWN COUNCIL OF SEREMBAN,LOBAK,UMNO - MCA,UMBRELLA,JAAFAR BIN HAJI TALIB
TOWN COUNCIL OF SEREMBAN,LOBAK,MIC,TIGER,I. M. K. PILLAY
TOWN COUNCIL OF SEREMBAN,LOBAK,UMNO - MCA,KEY,K. RAJAH
TOWN COUNCIL OF SEREMBAN,LOBAK,LABOUR,CAR,S. SATHAPPAN
TOWN COUNCIL OF SEREMBAN,LOBAK,INDEPENDENT,SCISSORS,THAM TAT MING
TOWN COUNCIL OF SEREMBAN,RAHANG,UMNO - MCA,KITE,M. HANIFAH
TOWN COUNCIL OF SEREMBAN,RAHANG,UMNO - MCA,LION,LIM EWE LAW
TOWN COUNCIL OF SEREMBAN,RAHANG,LABOUR,TELEPHONE,MANIAM
TOWN COUNCIL OF SEREMBAN,RAHANG,INDEPENDENT,AEROPLANE,STANLEY PONNIAH
TOWN COUNCIL OF SEREMBAN,RAHANG,INDEPENDENT,HORSE,M. VALLIPURAM
TOWN COUNCIL OF SEREMBAN,RAHANG,UMNO-MCA,PERAMBULATOR,YUSOF IBRAHIM
