LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TANAH PUTEH WARD,UMNO - MCA,ABDUL AZIZ BIN AHMAD,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TANAH PUTEH WARD,UMNO - MCA,WAN ABDUL AZIZ BIN UNGKU HAJI ABDULLAH,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TANAH PUTEH WARD,UMNO - MCA,YAP KHEN VAN,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,UMNO - MCA,ABDUL RAHMAN BIN HAJI TALIB,MALE,,586,WON,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,UMNO - MCA,CHEONG SIK KUAN,MALE,,534,WON,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,UMNO - MCA,LIM CHIN HUI,MALE,,524,WON,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,INDEPENDENT,YAP YOON KEONG,,,196,LOST,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,,TOTAL REJECTED BALLOT PAPERS,,,39,,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,CENTRAL TOWN WARD,,TOTAL ELECTORS,,,735,,
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TELOK SISEK WARD,UMNO - MCA,WONG KUAN TAN,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TELOK SISEK WARD,UMNO - MCA,MANSOR BIN OSMAN,MALE,,,WON,Y
TOWN COUNCIL OF KUANTAN,ANNUAL ELECTION,TELOK SISEK WARD,UMNO - MCA,HAJI IBRAHIM BIN HAJI DAUD,MALE,,,WON,Y
