LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LAKE,ALLIANCE - MCA,LIM EWE LAW,MALE,,,WON,Y
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,LABOUR,SATHAPPAN,MALE,,671,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,ALLIANCE - MCA,CHONG THIN HUATT,MALE,,600,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL REJECTED BALLOT PAPERS,,,16,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,LOBAK,,TOTAL ELECTORS,,,1593,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,ALLIANCE - MCA,CHOONG YOON CHONG @ AKIOW,MALE,,529,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,LABOUR,SULAIMAN S/O SAIR ALI KHAN,MALE,,521,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL REJECTED BALLOT PAPERS,,,11,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,RAHANG,,TOTAL ELECTORS,,,1498,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,ALLIANCE - MCA,THAM TAT MING,MALE,,360,WON,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,LABOUR,PAUL SIOW,MALE,,343,LOST,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL REJECTED BALLOT PAPERS,,,12,,
TOWN COUNCIL OF SEREMBAN,ANNUAL ELECTION,TEMIANG,,TOTAL ELECTORS,,,1119,,
