LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED
TELUK ANSON TOWN COUNCIL,BY-ELECTION,PASIR BEDAMAR,ALLIANCE - UMNO,AHMAD TAJUDIN BIN HAJI BAHARUDIN,MALE,,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,CHANGKAT JONG,ALLIANCE - UMNO,AHMAD TAJUDIN BIN HAJI BAHARUDIN,MALE,,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,DENISON ROAD,,KEE KIM SENG,MALE,,,WON,Y
TELUK ANSON TOWN COUNCIL,ANNUAL ELECTION,PASIR BEDAMAR,ALLIANCE - MCA,WOO SAIK HONG,MALE,47,,WON,Y
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,MENGLEMBU,ALLIANCE - MCA,CHONG HONG CHEW,MALE,,,WON,Y
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,PASIR PUTEH,ALLIANCE - UMNO,MOHAMED YUSOFF BIN HAJI AHMAD,MALE,,,WON,Y
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,ALLIANCE - MIC,M. RAMANAND,MALE,,570,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,PPP,S. NALLIAH,MALE,,322,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL REJECTED BALLOT PAPERS,,,15,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,SILIBIN,,TOTAL ELECTORS,,,3115,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,ALLIANCE  - MCA,KOK HO TEIK,MALE,,642,WON,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,INDEPENDENT,TOH SEANG ENG,MALE,,358,LOST,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL REJECTED BALLOT PAPERS,,,13,,
TOWN COUNCIL OF IPOH AND MENGLEMBU,ANNUAL ELECTION,GREEN TOWN,,TOTAL ELECTORS,,,3321,,
TAIPING TOWN COUNCIL,ANNUAL ELECTION,ASSAM KUMBANG,,OSMAN BIN SUNONG,MALE,,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KOTA,,GOH CHOK SAM,MALE,,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,DR. NG KAM POH,,,,WON,Y
TAIPING TOWN COUNCIL,ANNUAL ELECTION,KLIAN PAU,,MOKHTAR BIN HAJI ABDUL MANAP,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,WONG FAH SHIN,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,MOHAMED NOORDIN BIN HAJI BAHARUDIN,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,IDRIS,,THANGAVELOO S/O KANNUSAMY,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KANGSAR,,TUAN HAJI MOHAMED ESAH BIN KULOP SHAH,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KANGSAR,,BAHADUR SINGH S/O GURDIT SINGH,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KANGSAR,,CHUAH CHONG SEK @ CHUAH CHONG SHIK,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KENAS,,YEOH THEAN LYE,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KENAS,,MOHAMED ZAIN BIN AZIZ,MALE,,,WON,Y
KUALA KANGSAR TOWN COUNCIL,ANNUAL ELECTION,KENAS,,MOHAMED NOORDIN BIN MOHAMED SHARIFF,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,NORTH,,WONG THYE PING,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,NORTH,,NG TONG LAM,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,NORTH,,FOONG SIEW WEI,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,CENTRAL,,PONNAMPALAM SITTAMPALAM,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,CENTRAL,,AYUB GHAZALI BIN ABAS,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,CENTRAL,,OH KAY SEANG,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,SOUTH,,TEH SIEW ENG,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,SOUTH,,LAM CHIEW,MALE,,,WON,Y
KAMPAR TOWN COUNCIL,ANNUAL ELECTION,SOUTH,,NG YIN FONG,MALE,,,WON,Y
