LOCAL AUTHORITY AREA,LOCAL ELECTION TYPE,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,ALLIANCE - MCA,CHAN PENG HONG,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG NORTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,ALLIANCE - UMNO,MOHD. SALLEH BIN HUSSAIN,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,KLANG SOUTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,ALLIANCE - UMNO,YAMIN BIN ABDUL KADIR,MALE,,,WON,Y
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,ANNUAL ELECTION,PORT SWETTENHAM,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,ALLIANCE - UMNO,YAHYA BIN SHEIKH AHMAD,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,SENTUL,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,ALLIANCE - MIC,A. THARMALINGAM,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,BUNGSAR,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,ALLIANCE - MCA,LIM HEE HONG,MALE,,849,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,INDEPENDENT,CHUA KUNG SIEW,MALE,,499,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,25,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,IMBI,TOTAL ELECTORS,,,,2573,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,ALLIANCE - MCA,CHONG SHIH GUAN,MALE,,898,WON,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,INDEPENDENT,TAN TUAN BOON,MALE,,471,LOST,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,TOTAL REJECTED BALLOT PAPERS,,,,49,,
MUNICIPALITY OF KUALA LUMPUR,ANNUAL ELECTION,PETALING,TOTAL ELECTORS,,,,2371,,
