LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
KLANG TOWN COUNCIL,KLANG NORTH,ALLIANCE,KOH LIANG SIH,MALE,,,WON,Y
KLANG TOWN COUNCIL,KLANG NORTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,KLANG NORTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,KLANG SOUTH,ALLIANCE,CHEONG JIN HOE,MALE,,,WON,Y
KLANG TOWN COUNCIL,KLANG SOUTH,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,KLANG SOUTH,TOTAL ELECTORS,,,,,,
KLANG TOWN COUNCIL,PORT SWETTENHAM,ALLIANCE,NG SOON HUAT,MALE,,,WON,Y
KLANG TOWN COUNCIL,PORT SWETTENHAM,TOTAL REJECTED BALLOT PAPERS,,,,,,
KLANG TOWN COUNCIL,PORT SWETTENHAM,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,ALLIANCE,ABDULLAH BIN HAJI MOHD. YASSIN,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,SENTUL,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,LABOUR,V. DAVID,MALE,25,1055,WON,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,ALLIANCE - MIC,GURDIAL SINGH,MALE,,842,LOST,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL REJECTED BALLOT PAPERS,,,,25,,
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,TOTAL ELECTORS,,,,3771,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,ALLIANCE - MCA,CHEAH THEAM SWEE,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,IMBI,TOTAL ELECTORS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,ALLIANCE - MCA,LIM JEW SIANG,MALE,,,WON,Y
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL REJECTED BALLOT PAPERS,,,,,,
MUNICIPALITY OF KUALA LUMPUR,PETALING,TOTAL ELECTORS,,,,,,
