LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
TOWN COUNCIL OF BENTONG,BENTONG TOWN WARD,ALLIANCE - MCA,,KONG THAM FATT
TOWN COUNCIL OF BENTONG,KETARI WARD,LABOUR,PEN AND CHANGKUL SUPERIMPOSED OVER A RING,BASIR BIN MAT
TOWN COUNCIL OF BENTONG,KETARI WARD,ALLIANCE - UMNO,SONGKOK,HAJI JAMIL BIN HAJI LARIS
TOWN COUNCIL OF BENTONG,KETARI WARD,ALLIANCE - MIC,MOTOR CAR,RANGI JAGIR BAGGA SINGH
TOWN COUNCIL OF BENTONG,CHAMANG REPAS WARD,ALLIANCE - UMNO,,CHE AWANG BIN TO' MUDA MAT ZIN
TOWN COUNCIL OF BENTONG,PERTING KEMANSUR WARD,ALLIANCE - MCA,BICYCLE,CHIN YOOK TOONG
TOWN COUNCIL OF BENTONG,PERTING KEMANSUR WARD,INDEPENDENT,FLAMING TORCH,TOH WAI THENG
TOWN COUNCIL OF KUANTAN,TANAH PUTEH WARD,ALLIANCE - UMNO,,CHE' MAHIMON BINTI HARUN
TOWN COUNCIL OF KUANTAN,CENTRAL TOWN WARD,ALLIANCE - MCA,,CHIAM HAI SAI
TOWN COUNCIL OF KUANTAN,TELUK SISEK WARD,ALLIANCE - UMNO,,MOHD. ALI BIN TAHIR
TOWN COUNCIL OF RAUB,R.A.G.M. WARD,ALLIANCE - MCA,,TI CHENG KIEN
TOWN COUNCIL OF RAUB,TANJONG GADONG WARD,ALLIANCE - MCA,,SAW SIM HOCK
TOWN COUNCIL OF RAUB,SEMPALIT WARD,ALLIANCE - MCA,,TAN LIEW THONG
TOWN COUNCIL OF RAUB,RAUB TOWN WARD,ALLIANCE - MCA,,TI CHENG KENG
TOWN COUNCIL OF BENTONG,TOWN WARD,ALLIANCE - MCA,LAMP,CHOW CHEE SANG
TOWN COUNCIL OF BENTONG,TOWN WARD,INDEPENDENT,FLAMING TORCH,TAN KUNG CHUAN
TOWN COUNCIL OF BENTONG,KETARI WARD,LABOUR,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,BASIR BIN MAT
TOWN COUNCIL OF BENTONG,KETARI WARD,ALLIANCE - UMNO,LAMP,MOHD. LIKI BIN IMAM ISA
TOWN COUNCIL OF BENTONG,CHAMANG REPAS WARD,INDEPENDENT,FLAMING TORCH,CHIN YOOK TOONG
TOWN COUNCIL OF BENTONG,CHAMANG REPAS WARD,LABOUR,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,TAJUDIN BIN SAMJIS
TOWN COUNCIL OF BENTONG,CHAMANG REPAS WARD,ALLIANCE - MCA,LAMP,WONG YOON CHONG
TOWN COUNCIL OF BENTONG,PERTING KEMANSUR WARD,ALLIANCE - MCA,LAMP,LEOW LIEW MIN
TOWN COUNCIL OF BENTONG,PERTING KEMANSUR WARD,INDEPENDENT,FLAMING TORCH,NG SEH HING
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH NORTH WARD,ALLIANCE - MCA,SAILING SHIP,GOH ANN J.P.
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH NORTH WARD,SF,KEPALA BANTING,ZAINAL ABIDIN BIN ALI
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,TEMERLOH SOUTH WARD,ALLIANCE - UMNO,,ARSHAD BIN HAJI HASSAN
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB NORTH WARD,ALLIANCE - MCA,,TAN HEE TONG
TOWN COUNCIL OF TEMERLOH AND MENTEKAB,MENTEKAB SOUTH WARD,ALLIANCE - MCA,,HOONG SZE LEONG
