LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
KUALA KANGSAR TOWN COUNCIL,IDRIS,,,YAP HOCK SUN
KUALA KANGSAR TOWN COUNCIL,KENAS,,,FATEH SINGH S/O INDER SINGH
KUALA KANGSAR TOWN COUNCIL,KANGSAR,,,MOHAMED NOORDIN BIN HAJI BAHARUDDIN
KUALA KANGSAR TOWN COUNCIL,IDRIS,,,ABDUL LATIFF BIN ALANG AHMAD
TELUK ANSON TOWN COUNCIL,PASIR BEDAMAR,,,MOHAMED RAZALLI BIN AHMAD TASIR
TELUK ANSON TOWN COUNCIL,DENISON ROAD,,,CHE' SOM BINTI ABDULLAH
TELUK ANSON TOWN COUNCIL,CHANGKAT JONG,,,R. GOVINDASAMY
KAMPAR TOWN COUNCIL,NORTH,,,TAN BENG LEE
KAMPAR TOWN COUNCIL,SOUTH,,,WONG KENG WAI
KAMPAR TOWN COUNCIL,CENTRAL,,,AIYUB GHAZALI BIN ABAS
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,SAILING BOAT,RAJA BAAYAH BINTI RAJA YAACOB
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,PHO KIM CHIANG
TAIPING TOWN COUNCIL,ASSAM KUMBANG,,SMOKE PIPE,HAJI MOHAMED TAHIR BIN HAJI ABDUL RAUF
TAIPING TOWN COUNCIL,KLIAN PAU,,SAILING BOAT,MOHD. ISMAIL BIN HAJI ABDULLAH
TAIPING TOWN COUNCIL,KLIAN PAU,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,KRISHNAN N.M.
TAIPING TOWN COUNCIL,TOWN,,SAILING BOAT,PASQUAL EDWARD FERDINAND
TAIPING TOWN COUNCIL,TOWN,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,NG GUAN LENG
TAIPING TOWN COUNCIL,TUPAI,,SAILING BOAT,KEE CHENG HOE
TAIPING TOWN COUNCIL,TUPAI,,SAILING BOAT,MANECKSHA RUSTIM
TAIPING TOWN COUNCIL,TUPAI,,SAILING BOAT,NG SAY CHOON
TAIPING TOWN COUNCIL,TUPAI,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,HWANG LEE HWA
TAIPING TOWN COUNCIL,TUPAI,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,HO RICHARD
TAIPING TOWN COUNCIL,TUPAI,,PEN AND CHANGKOL SUPERIMPOSED OVER A RING,MARKANDU S/O THURAIAPPA
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,SIX POINTED STAR,HOR HOCK LUNG
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,SAILING BOAT,TOO JOON TING
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,UMBRELLA,S. NALLIAH
TOWN COUNCIL OF IPOH AND MENGLEMBU,SILIBIN,,TIGER,NG AH LENG
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,SIX POINTED STAR,CHOY KOK KUAN
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,SAILING BOAT,LEE KOON VOON
TOWN COUNCIL OF IPOH AND MENGLEMBU,MENGLEMBU,,TIGER,LEAN CHOR KOW
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SIX POINTED STAR,KHONG KOK YAT
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,SAILING BOAT,CHAN KOK CHEONG
TOWN COUNCIL OF IPOH AND MENGLEMBU,GREEN TOWN,,TIGER,LEONG AH KOW
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,SIX POINTED STAR,C.H. YIN
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,SAILING BOAT,LAILY MARIAM BINTI SULAIMAN
TOWN COUNCIL OF IPOH AND MENGLEMBU,PASIR PUTEH,,TIGER,MOHAMED YUSOFF BIN HAJI SAMAD
TANJONG MALIM TOWN COUNCIL,IDRIS,,SAILING BOAT,HALIMAH BINTI ABDULLAH
TANJONG MALIM TOWN COUNCIL,IDRIS,,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,ABDUL KADER BIN MAT RAWI
TANJONG MALIM TOWN COUNCIL,BEIROP,,SAILING BOAT,GOH KIM SENG
TANJONG MALIM TOWN COUNCIL,BEIROP,,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,ONG YOKE WAH
TANJONG MALIM TOWN COUNCIL,MALACCA,,SAILING BOAT,CHIN LENG
TANJONG MALIM TOWN COUNCIL,MALACCA,,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,TAN BOON JIN
TAPAH TOWN COUNCIL,STATION ROAD,,SAILING BOAT,HOR SENG
TAPAH TOWN COUNCIL,STATION ROAD,,SIX POINTED STAR,TAN GUAN SENG @ TAN GUAN HUAT
TAPAH TOWN COUNCIL,KAMPONG DATOH,,SAILING BOAT,NG ENG HOE
