LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE OFFICIAL SYMBOL,CANDIDATE NAME
KLANG TOWN COUNCIL,KLANG NORTH,ALLIANCE,,TUAN SHEIKH HUSSIN BIN SHEIKH ALI
KLANG TOWN COUNCIL,KLANG SOUTH,ALLIANCE,,KARUPPIAH S/O ADAIKALAM SERVAI
KLANG TOWN COUNCIL,PORT SWETTENHAM,ALLIANCE,KETTLE,ABDULLAH BIN HAJI HASSAN
KLANG TOWN COUNCIL,PORT SWETTENHAM,SF - LABOUR,AEROPLANE,LIM SIAN LOK (née) QUAN SIEW LIN
MUNICIPALITY OF KUALA LUMPUR,PETALING,ALLIANCE - MCA,SAILING BOAT,CHAN KEONG HON
MUNICIPALITY OF KUALA LUMPUR,PETALING,PPP,SIX POINTED STAR,CHEW CHOO SOOT
MUNICIPALITY OF KUALA LUMPUR,PETALING,SF,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,GAN YONG MING
MUNICIPALITY OF KUALA LUMPUR,IMBI,ALLIANCE - MCA,SAILING BOAT,LAW JOO KOOI
MUNICIPALITY OF KUALA LUMPUR,IMBI,PPP,SIX POINTED STAR,LUM KIN TUCK
MUNICIPALITY OF KUALA LUMPUR,IMBI,SF,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,AMERICK SINGH GILL
MUNICIPALITY OF KUALA LUMPUR,SENTUL,ALLIANCE - UMNO,SAILING BOAT,ENCHOM BINTI HAJI ZAINUDDIN
MUNICIPALITY OF KUALA LUMPUR,SENTUL,SF,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,AHMAD BIN DAUD
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,SF,BULLHEAD SUPERIMPOSED OVER PEN AND CHANGKOL SUPERIMPOSED OVER A RING,S. S. NAYAGAM
MUNICIPALITY OF KUALA LUMPUR,BUNGSAR,ALLIANCE - MIC,SAILING BOAT,K. GURUPATHAM
