LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,ALLIANCE - UMNO,SYED MOHAMED BIN IDROS,MALE,,860,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,NEGARA,OTHMAN BIN ABDUL JABAR,MALE,,309,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,PAS,KHATIJAH BINTE MOHD. SIDEK,FEMALE,,255,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,REJECTED BALLOT PAPERS,,,,37,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,TOTAL BALLOTS ISSUED,,,,1461,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,TOTAL ELECTORATE,,,,1976,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,KAMPONG MELAYU WARD,TURNOUT (%),,,,73.9,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,ALLIANCE - MCA,LEE TECK CHIANG,,,880,WON,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,SF,C. C. YONG ,,,703,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,TOTAL BALLOTS ISSUED,,,,1598,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,TOTAL ELECTORATE,,,,1969,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,BATU LIMA WARD,TURNOUT (%),,,,81.1,,
LOCAL AUTHORITY AREA OF JOHORE BAHRU,ULU AYER MOLEK WARD,ALLIANCE - UMNO,MOHD. NOOR BIN AWANG,MALE,,732,WON,
