LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF ALOR STAR,BAKAR BATA WARD,ALLIANCE - UMNO,CHE ROGAYAH BINTI HJ. MAHMUD,FEMALE,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,KAMPONG PERAK WARD,ALLIANCE - MCA,OOI ENG HONG,,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,TAMBANG BADAK WARD,ALLIANCE - MCA,TAN HAI LOON,,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,PENGKALAN WARD,ALLIANCE - MCA,GEH TENG KHENG,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN RAJA WARD,ALLIANCE - MCA,MAK GUAN PIN,,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,PEKAN TIMOR WARD,ALLIANCE - MCA,WONG SHENG CHAN,,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN LANGGAR WARD,ALLIANCE - MIC,SAGAR SINGH,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,MARKET LAMA WARD,ALLIANCE - MCA,OH ENG KOOI,,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,SIMPANG KUALA WARD,ALLIANCE - UMNO,KHALID BIN HAJI ABDULLAH,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF ALOR STAR,ALOR MERAH WARD,ALLIANCE - UMNO,WAN SULAIMAN BIN WAN TAM,MALE,,569,WON,
LOCAL AUTHORITY AREA OF ALOR STAR,ALOR MERAH WARD,PMIP,MAHMUD BIN AHMAD,MALE,,177,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,ALOR MERAH WARD,REJECTED BALLOT PAPERS,,,,31,,
LOCAL AUTHORITY AREA OF ALOR STAR,ALOR MERAH WARD,TOTAL BALLOTS ISSUED,,,,777,,
LOCAL AUTHORITY AREA OF ALOR STAR,ALOR MERAH WARD,TOTAL ELECTORATE,,,,1244,,
LOCAL AUTHORITY AREA OF ALOR STAR,ALOR MERAH WARD,TURNOUT (%),,,,62.4,,
LOCAL AUTHORITY AREA OF ALOR STAR,TELOK WAN JAH WARD,PMIP,HAJI ALI BIN SINTA,MALE,,134,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,TELOK WAN JAH WARD,ALLIANCE - UMNO,ISMAIL BIN HARUN,MALE,,462,WON,
LOCAL AUTHORITY AREA OF ALOR STAR,TELOK WAN JAH WARD,REJECTED BALLOT PAPERS,,,,8,,
LOCAL AUTHORITY AREA OF ALOR STAR,TELOK WAN JAH WARD,TOTAL BALLOTS ISSUED,,,,604,,
LOCAL AUTHORITY AREA OF ALOR STAR,TELOK WAN JAH WARD,TOTAL ELECTORATE,,,,928,,
LOCAL AUTHORITY AREA OF ALOR STAR,TELOK WAN JAH WARD,TURNOUT (%),,,,65.1,,
LOCAL AUTHORITY AREA OF ALOR STAR,DERGA WARD,PMIP,IDRUS BIN HARON,MALE,,128,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,DERGA WARD,ALLIANCE - UMNO,T. ZUHARAH BINTI T. ABDULLAH,FEMALE,,452,WON,
LOCAL AUTHORITY AREA OF ALOR STAR,DERGA WARD,REJECTED BALLOT PAPERS,,,,18,,
LOCAL AUTHORITY AREA OF ALOR STAR,DERGA WARD,TOTAL BALLOTS ISSUED,,,,598,,
LOCAL AUTHORITY AREA OF ALOR STAR,DERGA WARD,TOTAL ELECTORATE,,,,961,,
LOCAL AUTHORITY AREA OF ALOR STAR,DERGA WARD,TURNOUT (%),,,,62.3,,
LOCAL AUTHORITY AREA OF ALOR STAR,TONGKANG YARD WARD,ALLIANCE - UMNO,AHMAD BIN LEBAI OSMAN,MALE,,578,WON,
LOCAL AUTHORITY AREA OF ALOR STAR,TONGKANG YARD WARD,PMIP,KHAIR BIN MOHAMAD,MALE,,203,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,TONGKANG YARD WARD,REJECTED BALLOT PAPERS,,,,16,,
LOCAL AUTHORITY AREA OF ALOR STAR,TONGKANG YARD WARD,TOTAL BALLOTS ISSUED,,,,797,,
LOCAL AUTHORITY AREA OF ALOR STAR,TONGKANG YARD WARD,TOTAL ELECTORATE,,,,1212,,
LOCAL AUTHORITY AREA OF ALOR STAR,TONGKANG YARD WARD,TURNOUT (%),,,,65.7,,
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN PEGAWAI WARD,PMIP,MUSTAFFA BIN MOHD. SAID,MALE,,184,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN PEGAWAI WARD,ALLIANCE - UMNO,OMAR BIN S. MOHAMAD,MALE,,888,WON,
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN PEGAWAI WARD,REJECTED BALLOT PAPERS,,,,37,,
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN PEGAWAI WARD,TOTAL BALLOTS ISSUED,,,,1109,,
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN PEGAWAI WARD,TOTAL ELECTORATE,,,,1694,,
LOCAL AUTHORITY AREA OF ALOR STAR,JALAN PEGAWAI WARD,TURNOUT (%),,,,65.4,,
LOCAL AUTHORITY AREA OF ALOR STAR,SUNGEI KOROK WARD,ALLIANCE - UMNO,HAJI AHMAD BIN HAJI ABDULLAH,MALE,,289,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,SUNGEI KOROK WARD,PMIP,OSMAN BIN SAID,MALE,,32,LOST,
LOCAL AUTHORITY AREA OF ALOR STAR,SUNGEI KOROK WARD,INDEPENDENT,SHEIK OSMAN BIN IBRAHIM,MALE,,411,WON,
LOCAL AUTHORITY AREA OF ALOR STAR,SUNGEI KOROK WARD,REJECTED BALLOT PAPERS,,,,4,,
