LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KUALA LIPIS,SUNGEI JELAI UTARA WARD,SF,HABSAH BINTI AWANG,FEMALE,,65,LOST,
LOCAL AUTHORITY AREA OF KUALA LIPIS,SUNGEI JELAI UTARA WARD,ALLIANCE - UMNO,HABIBAH BINTI ABDUL GHANI,FEMALE,,134,WON,
LOCAL AUTHORITY AREA OF KUALA LIPIS,SUNGEI JELAI UTARA WARD,REJECTED BALLOT PAPERS,,,,4,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,SUNGEI JELAI UTARA WARD,TOTAL BALLOTS ISSUED,,,,203,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,SUNGEI JELAI UTARA WARD,TOTAL ELECTORATE,,,,289,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,SUNGEI JELAI UTARA WARD,TURNOUT (%),,,,70.2,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,BATU KURAP WARD,SF,ISMAIL BIN HUSSAIN,MALE,,144,WON,
LOCAL AUTHORITY AREA OF KUALA LIPIS,BATU KURAP WARD,ALLIANCE - MCA,SEONG SIK HONG,MALE,,103,LOST,
LOCAL AUTHORITY AREA OF KUALA LIPIS,BATU KURAP WARD,REJECTED BALLOT PAPERS,,,,2,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,BATU KURAP WARD,TOTAL BALLOTS ISSUED,,,,249,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,BATU KURAP WARD,TOTAL ELECTORATE,,,,353,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,BATU KURAP WARD,TURNOUT (%),,,,70.5,,
LOCAL AUTHORITY AREA OF KUALA LIPIS,JALAN CHENERAS TIMOR WARD,ALLIANCE - MCA,LEE THIAM LOONG,MALE,,78,LOST,
LOCAL AUTHORITY AREA OF KUALA LIPIS,JALAN CHENERAS TIMOR WARD,SF,H. A. HUNT,MALE,,126,WON,
LOCAL AUTHORITY AREA OF KUALA LIPIS,JALAN CHENERAS TIMOR WARD,REJECTED BALLOT PAPERS,,,,5,,
