LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KANGAR,PEKAN UTARA WARD,ALLIANCE - MCA,YEE KOK LIANG,MALE,34,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,PEKAN SELATAN WARD,ALLIANCE - MCA,LIEW SHI THOO,MALE,43,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,SEBRANG BUKIT LAGI WARD,ALLIANCE - UMNO,CHE NOOR BIN MAT AKIB,MALE,60,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,ARAU UTARA WARD,ALLIANCE - UMNO,ISMAIL BIN SHIEK IBRAHIM,MALE,37,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,ARAU TENGAH WARD,ALLIANCE - UMNO,SYED HUSSEIN BIN SYED ABAS,MALE,56,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,ARAU SELATAN WARD,ALLIANCE - MCA,CHOO SENG KEE,MALE,45,,WON,Y
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,INDEPENDENT - TEAPOT,MAT DIN BIN YAACOB,MALE,,212,LOST,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,ALLIANCE - UMNO,WAN KHARFAH BINTI WAN AHMAD,FEMALE,40,244,WON,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,REJECTED BALLOT PAPERS,,,,9,,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,TOTAL BALLOTS ISSUED,,,,465,,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,TOTAL ELECTORATE,,,,585,,
LOCAL AUTHORITY AREA OF KANGAR,PENGKALAN ASSAM WARD,TURNOUT (%),,,,80,,
LOCAL AUTHORITY AREA OF KANGAR,MISJID KANGAR WARD,INDEPENDENT - ROOSTER,CHE YAHYA BIN BAGINDA,MALE,33,88,LOST,
LOCAL AUTHORITY AREA OF KANGAR,MISJID KANGAR WARD,ALLIANCE - UMNO,MD. ZAIN BIN SHAFFEEI,MALE,43,157,WON,
LOCAL AUTHORITY AREA OF KANGAR,MISJID KANGAR WARD,REJECTED BALLOT PAPERS,,,,2,,
LOCAL AUTHORITY AREA OF KANGAR,MISJID KANGAR WARD,TOTAL BALLOTS ISSUED,,,,247,,
LOCAL AUTHORITY AREA OF KANGAR,MISJID KANGAR WARD,TOTAL ELECTORATE,,,,302,,
LOCAL AUTHORITY AREA OF KANGAR,MISJID KANGAR WARD,TURNOUT (%),,,,82.5,,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,INDEPENDENT - HIBISCUS,OTHMAN BIN MOHD. AMIN,MALE,32,108,LOST,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,ALLIANCE - MCA,POR SWEE GIAP,MALE,43,255,WON,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,REJECTED BALLOT PAPERS,,,,5,,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,TOTAL BALLOTS ISSUED,,,,368,,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,TOTAL ELECTORATE,,,,403,,
LOCAL AUTHORITY AREA OF KANGAR,TOK PEDUKA WARD,TURNOUT (%),,,,91.2,,
LOCAL AUTHORITY AREA OF KANGAR,JALAN BUKIT LAGI WARD,INDEPENDENT - BOTTLE,OOI CHENG GUAN,MALE,35,63,LOST,
LOCAL AUTHORITY AREA OF KANGAR,JALAN BUKIT LAGI WARD,ALLIANCE - MCA,ONG THING PIAU,MALE,29,218,WON,
LOCAL AUTHORITY AREA OF KANGAR,JALAN BUKIT LAGI WARD,REJECTED BALLOT PAPERS,,,,3,,
LOCAL AUTHORITY AREA OF KANGAR,JALAN BUKIT LAGI WARD,TOTAL BALLOTS ISSUED,,,,284,,
LOCAL AUTHORITY AREA OF KANGAR,JALAN BUKIT LAGI WARD,TOTAL ELECTORATE,,,,319,,
LOCAL AUTHORITY AREA OF KANGAR,JALAN BUKIT LAGI WARD,TURNOUT (%),,,,89,,
LOCAL AUTHORITY AREA OF KANGAR,BALAI POLIS WARD,INDEPENDENT - TORCHLIGHT,ALI BIN ABDULLAH,MALE,38,55,LOST,
LOCAL AUTHORITY AREA OF KANGAR,BALAI POLIS WARD,ALLIANCE - UMNO,AHMAD BIN SAMAH,MALE,37,106,WON,
LOCAL AUTHORITY AREA OF KANGAR,BALAI POLIS WARD,REJECTED BALLOT PAPERS,,,,2,,
LOCAL AUTHORITY AREA OF KANGAR,BALAI POLIS WARD,TOTAL BALLOTS ISSUED,,,,163,,
LOCAL AUTHORITY AREA OF KANGAR,BALAI POLIS WARD,TOTAL ELECTORATE,,,,194,,
LOCAL AUTHORITY AREA OF KANGAR,BALAI POLIS WARD,TURNOUT (%),,,,78.8,,
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM WARD,INDEPENDENT - CHAIR,OTHMAN BIN HAMZAH,MALE,40,21,LOST,
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM WARD,ALLIANCE - MCA,ONG SENG WOO,MALE,26,146,WON,
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM WARD,REJECTED BALLOT PAPERS,,,,1,,
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM WARD,TOTAL BALLOTS ISSUED,,,,168,,
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM WARD,TOTAL ELECTORATE,,,,213,,
LOCAL AUTHORITY AREA OF KANGAR,CUSTOM WARD,TURNOUT (%),,,,84,,
