LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,NEGARA,MOHAMED BIN KUDIN,MALE,,224,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,PMIP,SU BIN HAJI AWANG,MALE,,203,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,ALLIANCE - UMNO,MUKHTAR BIN ABDULLAH,MALE,,416,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,REJECTED BALLOT PAPERS,,,,21,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,TOTAL BALLOTS ISSUED,,,,864,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,TOTAL ELECTORATE,,,,1168,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,LOSONG WARD,TURNOUT (%),,,,72.2,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,PMIP,TUAN DALAM BIN TUAN CHIK,MALE,,133,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,ALLIANCE - UMNO,NGAH BIN MOHD. ZIN,MALE,,561,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,NEGARA,ABDUL KARIM BIN AWANG,MALE,,420,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,REJECTED BALLOT PAPERS,,,,35,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,TOTAL BALLOTS ISSUED,,,,1149,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,TOTAL ELECTORATE,,,,1671,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,CHABANG TIGA WARD,TURNOUT (%),,,,68.8,,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PULAU KAMBING WARD,ALLIANCE - UMNO,SAID HASSAN AL-HADI BIN SAID SAGGAF,MALE,,361,WON,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PULAU KAMBING WARD,NEGARA,A. RAHMAN BIN HJ. OMAR,MALE,,104,LOST,
LOCAL AUTHORITY AREA OF KUALA TRENGGANU,PULAU KAMBING WARD,PMIP,ENDUT BIN MOHAMED,MALE,,251,LOST,
