STATE,LOCAL AUTHORITY,TERMINATION OF SUSPENSION ORDERS FOR LOCAL GOVERNMENT ELECTIONS,NOMINATION DAY,POLLING DAY,TOTAL ELECTORATE,TOTAL VOTING ELECTORATE,NOTE
PERLIS,KAKI BUKIT LOCAL COUNCIL,14/4/1962,29/4/1962,10/6/1962,,1142,
PERLIS,SIMPANG AMPAT LOCAL COUNCIL,14/4/1962,28/4/1962,9/6/1962,,255,
KEDAH,ANAK BUKIT LOCAL COUNCIL,31/3/1962,29/4/1962,,,,No Polling
KEDAH,BEDONG LOCAL COUNCIL,31/3/1962,6/5/1962,,,,No Polling
KEDAH,BUKIT SELAMBAU LOCAL COUNCIL,31/3/1962,29/4/1962,,,,No Polling
KEDAH,CHANGLUN LOCAL COUNCIL,31/3/1962,9/5/1962,,,,No Polling
KEDAH,GUAR CHEMPEDAK LOCAL COUNCIL,31/3/1962,6/5/1962,5/6/1962,,2159,
KEDAH,GURUN LOCAL COUNCIL,31/3/1962,12/5/1962,16/6/1962,,1518,
KEDAH,JENIANG LOCAL COUNCIL,31/3/1962,2/5/1962,3/6/1962,,606,
KEDAH,JUNJONG LOCAL COUNCIL,31/3/1962,12/5/1962,16/6/1962,,527,
KEDAH,KODIANG - PADANG SERA LOCAL COUNCIL,31/3/1962,14/7/1962,11/8/1962,,790,
KEDAH,KUALA KETIL LOCAL COUNCIL,31/3/1962,13/5/1962,17/6/1962,,640,
KEDAH,KUALA NERANG LOCAL COUNCIL,31/3/1962,12/5/1962,,,,No Polling
KEDAH,KUPANG LOCAL COUNCIL,31/3/1962,9/5/1962,,,,No Polling
KEDAH,LANGGAR LOCAL COUNCIL,31/3/1962,2/5/1962,,,,No Polling
KEDAH,LUNAS LOCAL COUNCIL,31/3/1962,29/4/1962,2/6/1962,,751,
KEDAH,MAHANG LOCAL COUNCIL,31/3/1962,9/5/1962,10/6/1962,,337,
KEDAH,MERBAU PULAS LOCAL COUNCIL,31/3/1962,6/5/1962,5/6/1962,,156,
KEDAH,MERBOK LOCAL COUNCIL,31/3/1962,13/5/1962,,,,No Polling
KEDAH,PADANG SERAI LOCAL COUNCIL,31/3/1962,2/5/1962,,,,No Polling
KEDAH,POKOK SENA LOCAL COUNCIL,31/3/1962,6/5/1962,,,,No Polling
KEDAH,SELAMA LOCAL COUNCIL,31/3/1962,6/5/1962,,,,No Polling
KEDAH,SERDANG LOCAL COUNCIL,31/3/1962,29/4/1962,2/6/1962,,1010,
KEDAH,SIK LOCAL COUNCIL,31/3/1962,9/5/1962,10/6/1962,,598,
KEDAH,SIMPANG TIGA LOCAL COUNCIL,31/3/1962,2/5/1962,3/6/1962,,296,
KEDAH,SUNGEI KECHIL ILLIR LOCAL COUNCIL,31/3/1962,2/5/1962,,,,No Polling
KEDAH,SUNGEI LALLANG LOCAL COUNCIL,31/3/1962,9/5/1962,,,,No Polling
KEDAH,TAWAR LOCAL COUNCIL,31/3/1962,12/5/1962,16/6/1962,,329,
KEDAH,TUNJANG LOCAL COUNCIL,31/3/1962,12/5/1962,16/6/1962,,175,
KEDAH,YEN LOCAL COUNCIL,31/3/1962,29/4/1962,2/6/1962,,1755,
KELANTAN,BERTAM LOCAL COUNCIL,31/5/1962,18/6/1962,14/7/1962,,421,
KELANTAN,CHERANG RUKU LOCAL COUNCIL,31/5/1962,25/6/1962,20/7/1962,,739,
KELANTAN,DABONG LOCAL COUNCIL,31/5/1962,2/7/1962,28/7/1962,,393,
KELANTAN,DAERAH KADOK LOCAL COUNCIL,31/5/1962,2/7/1962,28/7/1962,,3330,
KELANTAN,DAERAH PANGKAL KALONG LOCAL COUNCIL,31/5/1962,2/7/1962,28/7/1962,,5473,
KELANTAN,DAERAH PERINGAT LOCAL COUNCIL,31/5/1962,18/6/1962,14/7/1962,,4524,
KELANTAN,GUA MUSANG LOCAL COUNCIL,31/5/1962,18/6/1962,14/7/1962,,,No Polling
KELANTAN,GUAL IPOH LOCAL COUNCIL,31/5/1962,2/7/1962,28/7/1962,,249,
KELANTAN,GUAL PERIOK LOCAL COUNCIL,31/5/1962,18/6/1962,14/7/1962,,280,
KELANTAN,JELAWAT LOCAL COUNCIL,31/5/1962,18/6/1962,14/7/1962,,487,
KELANTAN,PAUH LIMA COUNCIL,31/5/1962,2/7/1962,28/7/1962,,650,
