LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,ALLIANCE - MCA,CHAN SUN CHUN,,,12,LOST,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,ALLIANCE - MCA,YEW HENG THEIN,,,15,LOST,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,SF,CHU YIM LEONG,,,83,WON,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,SF,CHAI CHU LIONG,,,81,WON,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,REJECTED BALLOT PAPERS,,,,5,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,TOTAL BALLOTS ISSUED,,,,,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,TOTAL ELECTORATE,,,,112,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN BARAT WARD,TURNOUT (%),,,,91.9,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,SF,LIM LEE KOON,,,65,WON,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,SF,PANG CHONG LAM,,,63,WON,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,ALLIANCE - MCA,KANG HANG CHUANG,,,56,LOST,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,ALLIANCE - MCA,LIM LEE BOO,,,57,LOST,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,REJECTED BALLOT PAPERS,,,,1,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,TOTAL BALLOTS ISSUED,,,,,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,TOTAL ELECTORATE,,,,134,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN SELATAN WARD,TURNOUT (%),,,,92.6,,
PANDAN LOCAL COUNCIL,BANDAR PANDAN TIMOR WARD,ALLIANCE - MCA,LOO YIT SONG,,,80,WON,
PANDAN LOCAL COUNCIL,BANDAR PANDAN TIMOR WARD,ALLIANCE - MCA,YONG JAW MAW,,,77,WON,
PANDAN LOCAL COUNCIL,BANDAR PANDAN TIMOR WARD,SF,WONG KON KIAN,,,49,LOST,
