LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
TITI LOCAL COUNCIL,KIM LOONG WARD,SF,LIM MIOW KION,,,149,WON,
TITI LOCAL COUNCIL,KIM LOONG WARD,SF,SIOW SIAT HWA,,,151,WON,
TITI LOCAL COUNCIL,KIM LOONG WARD,ALLIANCE - MCA,SIOW MIOY CHOY,,,92,LOST,
TITI LOCAL COUNCIL,KIM LOONG WARD,ALLIANCE - MCA,SIOW CHONG HIN,,,87,LOST,
TITI LOCAL COUNCIL,KIM LOONG WARD,ALLIANCE - MCA,LEE YOON,,,86,LOST,
TITI LOCAL COUNCIL,KIM LOONG WARD,SF,CHONG MING,,,143,WON,
TITI LOCAL COUNCIL,KIM LOONG WARD,REJECTED BALLOT PAPERS,,,,2,,
TITI LOCAL COUNCIL,KIM LOONG WARD,TOTAL BALLOTS ISSUED,,,,,,
TITI LOCAL COUNCIL,KIM LOONG WARD,TOTAL ELECTORATE,,,,271,,
TITI LOCAL COUNCIL,KIM LOONG WARD,TURNOUT (%),,,,87.08,,
TITI LOCAL COUNCIL,PEKAN TITI WARD,INDEPENDENT,YEE NGAN,,,123,LOST,
TITI LOCAL COUNCIL,PEKAN TITI WARD,ALLIANCE - MCA,SIOW MOOK LIM,,,198,WON,
TITI LOCAL COUNCIL,PEKAN TITI WARD,SF,SIOW TIAN CHOY,,,126,LOST,
TITI LOCAL COUNCIL,PEKAN TITI WARD,ALLIANCE - MCA,SIOW MEOW YAN,,,197,WON,
TITI LOCAL COUNCIL,PEKAN TITI WARD,ALLIANCE - MCA,SIOW KON FAH,,,194,WON,
TITI LOCAL COUNCIL,PEKAN TITI WARD,INDEPENDENT,LIM ONG TEAU,,,161,LOST,
TITI LOCAL COUNCIL,PEKAN TITI WARD,REJECTED BALLOT PAPERS,,,,8,,
TITI LOCAL COUNCIL,PEKAN TITI WARD,TOTAL BALLOTS ISSUED,,,,,,
TITI LOCAL COUNCIL,PEKAN TITI WARD,TOTAL ELECTORATE,,,,430,,
TITI LOCAL COUNCIL,PEKAN TITI WARD,TURNOUT (%),,,,78.06,,
TITI LOCAL COUNCIL,MAH FONG WARD,ALLIANCE - MCA,LAI SEE CHUN,,,130,WON,
TITI LOCAL COUNCIL,MAH FONG WARD,ALLIANCE - MCA,CHAN YOON YONG,,,120,LOST,
TITI LOCAL COUNCIL,MAH FONG WARD,ALLIANCE - MCA,YONG CHIN FAH,,,129,LOST,
TITI LOCAL COUNCIL,MAH FONG WARD,SF,WONG SIN,,,151,WON,
TITI LOCAL COUNCIL,MAH FONG WARD,INDEPENDENT,NG SZE CHONG,,,144,WON,
TITI LOCAL COUNCIL,MAH FONG WARD,SF,CHEN KIM FOON,,,125,LOST,
TITI LOCAL COUNCIL,MAH FONG WARD,REJECTED BALLOT PAPERS,,,,7,,
TITI LOCAL COUNCIL,MAH FONG WARD,TOTAL BALLOTS ISSUED,,,,,,
TITI LOCAL COUNCIL,MAH FONG WARD,TOTAL ELECTORATE,,,,327,,
TITI LOCAL COUNCIL,MAH FONG WARD,TURNOUT (%),,,,82.16,,
TITI LOCAL COUNCIL,HOSAPA WARD,SF,YAP KIM SANG,,,199,WON,
TITI LOCAL COUNCIL,HOSAPA WARD,SF,SIOW YON KONG,,,195,WON,
TITI LOCAL COUNCIL,HOSAPA WARD,ALLIANCE - MCA,LIM TOM,,,154,LOST,
TITI LOCAL COUNCIL,HOSAPA WARD,SF,SIOW YOON KIEW,,,185,WON,
TITI LOCAL COUNCIL,HOSAPA WARD,ALLIANCE - MCA,SIOW KWEE YEU,,,147,LOST,
TITI LOCAL COUNCIL,HOSAPA WARD,ALLIANCE - MCA,SIOW SOONG,,,141,LOST,
TITI LOCAL COUNCIL,HOSAPA WARD,REJECTED BALLOT PAPERS,,,,9,,
TITI LOCAL COUNCIL,HOSAPA WARD,TOTAL BALLOTS ISSUED,,,,,,
TITI LOCAL COUNCIL,HOSAPA WARD,TOTAL ELECTORATE,,,,393,,
TITI LOCAL COUNCIL,HOSAPA WARD,TURNOUT (%),,,,87.36,,
SUNGEI BULOH LOCAL COUNCIL,HULU WARD,ALLIANCE - UMNO,ZAKARIA BIN SABTU,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,HULU WARD,ALLIANCE - UMNO,MOHD. YUSOF BIN MOHD. KEPAM,MALE,,,WON,Y
SUNGEI BULOH LOCAL COUNCIL,HULU WARD,REJECTED BALLOT PAPERS,,,,,,
SUNGEI BULOH LOCAL COUNCIL,HULU WARD,TOTAL BALLOTS ISSUED,,,,,,
