STATE,LOCAL COUNCIL,ALLIANCE - UMNO (VOTES),ALLIANCE - MCA (VOTES),ALLIANCE - MIC (VOTES),SF (VOTES),PMIP (VOTES),PPP (VOTES),INDEPENDENTS (VOTES),REJECTED BALLOT PAPERS,TOTAL ELECTORATE OF CONTESTED AREAS,ALLIANCE - UMNO (SEATS),ALLIANCE - MCA (SEATS),ALLIANCE - MIC (SEATS),SF (SEATS),PMIP (SEATS),PPP (SEATS),INDEPENDENTS (SEATS),TOTAL LOCAL GOVERNMENT SEATS,WINNING COALITION/PARTY,NOTES
PERLIS,KAKI BUKIT LOCAL COUNCIL,,3213,,,,,291,35,1142,,12,,,,,,12,ALLIANCE,
PERLIS,SIMPANG AMPAT LOCAL COUNCIL,457,421,,43,,,85,4,255,7,5,,,,,,12,ALLIANCE,
KEDAH,ANAK BUKIT LOCAL COUNCIL,,,,,,,,,,5,4,,,,,,9,ALLIANCE,
KEDAH,BEDONG LOCAL COUNCIL,,,,,,,,,,2,6,1,,,,,9,ALLIANCE,
KEDAH,BUKIT SELAMBAU LOCAL COUNCIL,,,,,,,,,,4,5,,,,,,9,ALLIANCE,
KEDAH,CHANGLUN LOCAL COUNCIL,,,,,,,,,,1,11,,,,,,12,ALLIANCE,
KEDAH,GUAR CHEMPEDAK LOCAL COUNCIL,838,954,,105,2301,,214,40,2159,1,2,,,9,,,12,PMIP,
KEDAH,GURUN LOCAL COUNCIL,383,1349,,462,,,568,31,1518,2,4,,2,,,1,9,ALLIANCE,
KEDAH,JENIANG LOCAL COUNCIL,193,94,,,283,,569,10,606,2,1,,,3,,3,9,(NO CLEAR WINNER),
KEDAH,JUNJONG LOCAL COUNCIL,97,699,,403,,,,9,527,1,7,,1,,,,9,ALLIANCE,
KEDAH,KODIANG - PADANG SERA LOCAL COUNCIL,756,235,,101,351,,378,3,790,5,2,,,2,,1,10,ALLIANCE,
KEDAH,KUALA KETIL LOCAL COUNCIL,298,713,,184,,,351,2,640,3,6,,,,,,9,ALLIANCE,
KEDAH,KUALA NERANG LOCAL COUNCIL,,,,,,,,,,6,3,,,,,,9,ALLIANCE,
KEDAH,KUPANG LOCAL COUNCIL,,,,,,,,,,5,4,,,,,,9,ALLIANCE,
KEDAH,LANGGAR LOCAL COUNCIL,,,,,,,,,,4,5,,,,,,9,ALLIANCE,
KEDAH,LUNAS LOCAL COUNCIL,,1179,,757,,,,7,751,,9,,,,,,9,ALLIANCE,
KEDAH,MAHANG LOCAL COUNCIL,240,297,166,,,,155,8,337,3,4,2,,,,,9,ALLIANCE,
KEDAH,MERBAU PULAS LOCAL COUNCIL,35,163,,156,,,,1,156,3,4,,2,,,,9,ALLIANCE,
KEDAH,MERBOK LOCAL COUNCIL,,,,,,,,,,2,7,,,,,,9,ALLIANCE,
KEDAH,PADANG SERAI LOCAL COUNCIL,,,,,,,,,,,6,3,,,,,9,ALLIANCE,
KEDAH,POKOK SENA LOCAL COUNCIL,,,,,,,,,,3,6,,,,,,9,ALLIANCE,
KEDAH,SELAMA LOCAL COUNCIL,,,,,,,,,,1,8,,,,,,9,ALLIANCE,
KEDAH,SERDANG LOCAL COUNCIL,579,1273,153,1408,,,,5,1010,3,6,1,2,,,,12,ALLIANCE,
KEDAH,SIK LOCAL COUNCIL,491,324,,,99,,36,5,598,6,3,,,,,,9,ALLIANCE,
KEDAH,SIMPANG TIGA LOCAL COUNCIL,248,424,,,,,301,5,296,3,5,,,,,,8,ALLIANCE,
KEDAH,SUNGEI KECHIL ILLIR LOCAL COUNCIL,,,,,,,,,,1,8,,,,,,9,ALLIANCE,
KEDAH,SUNGEI LALLANG LOCAL COUNCIL,,,,,,,,,,,9,,,,,,9,ALLIANCE,
KEDAH,TAWAR LOCAL COUNCIL,133,329,60,,,,104,4,329,3,5,1,,,,,9,ALLIANCE,
KEDAH,TUNJANG LOCAL COUNCIL,49,104,,,,,270,2,175,4,2,,,,,3,9,ALLIANCE,
KEDAH,YEN LOCAL COUNCIL,1099,385,,749,272,,167,26,1755,7,2,,4,2,,,15,ALLIANCE,
KELANTAN,BERTAM LOCAL COUNCIL,619,,,,430,,,10,421,9,,,,,,,9,ALLIANCE,
KELANTAN,CHERANG RUKU LOCAL COUNCIL,548,85,,,1171,,,9,739,,,,,9,,,9,PMIP,
KELANTAN,DAERAH KADOK LOCAL COUNCIL,2069,,,,5248,,,35,3330,,,,,12,,,12,PMIP,
KELANTAN,DAERAH PANGKAL KALONG LOCAL COUNCIL,4448,,,535,6558,,,154,5473,1,,,,11,,,12,PMIP,
KELANTAN,DAERAH PERINGAT LOCAL COUNCIL,4242,,,,6160,,,192,4524,,,,,12,,,12,PMIP,
KELANTAN,GUA MUSANG LOCAL COUNCIL,,,,,,,,,,,9,,,,,,9,ALLIANCE,
KELANTAN,GUAL IPOH LOCAL COUNCIL,372,,,,264,,,12,249,8,,,,1,,,9,ALLIANCE,
KELANTAN,GUAL PERIOK LOCAL COUNCIL,276,,,,437,,,4,280,1,,,,8,,,9,PMIP,
KELANTAN,JELAWAT LOCAL COUNCIL,500,125,,,644,,,8,487,2,1,,,6,,,9,PMIP,
KELANTAN,KUALA BALAH LOCAL COUNCIL,783,,,,860,,,9,643,3,,,,6,,,9,PMIP,
KELANTAN,KUBANG KERIAN LOCAL COUNCIL,869,,,,1071,,,28,855,3,,,,9,,,12,PMIP,
KELANTAN,KUSIAL BHARU LOCAL COUNCIL,459,,,,329,,,4,298,6,,,,3,,,9,ALLIANCE,
KELANTAN,MANEK URAI LOCAL COUNCIL,551,,,,476,,,22,600,3,,,,6,,,9,PMIP,
KELANTAN,PULAI CHONDONG LOCAL COUNCIL,552,83,,,414,,,2,441,5,1,,,3,,,9,ALLIANCE,
KELANTAN,RANTAU PANJANG LOCAL COUNCIL,829,104,,,585,,,8,735,8,1,,,,,,9,ALLIANCE,
KELANTAN,TANAH MERAH LOCAL COUNCIL,1194,325,,,873,,,15,1196,6,2,,,4,,,12,ALLIANCE,
