UNIQUE ID,LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY,NOMINATION DATE,POLLING DATE
1962JTB1,JESSELTON TOWN BOARD,JESSELTON TOWN,SAP,PANG TET TSHUNG,MALE,39,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB2,JESSELTON TOWN BOARD,LIKAS,SAP,LAI EN KONG,,,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB3,JESSELTON TOWN BOARD,BUKIT PADANG,SAP,JOHN VOON YIN KUI,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB4,JESSELTON TOWN BOARD,RAILWAY,SAP,DONALD A. STEPHENS,MALE,42,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB5,JESSELTON TOWN BOARD,KAMPONG AYER,SAP,LEE VUI MUN,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB6,JESSELTON TOWN BOARD,KAMPONG SEMBULAN,SAP,ABDUL MOMEN BIN HAJI KALA KHAN,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB7,JESSELTON TOWN BOARD,AERODROME,SAP,PETER YEW MIN SANG,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1962JTB8,JESSELTON TOWN BOARD,TANJONG ARU,USNO,HARRIS BIN MOHAMED SALLEH,MALE,32,525,WON,,26 NOV 1962,16 DEC 1962
1962JTB9,JESSELTON TOWN BOARD,TANJONG ARU,SAP,CHEUK MING TO,MALE,,512,LOST,,26 NOV 1962,16 DEC 1962
1962JTB10,JESSELTON TOWN BOARD,TANJONG ARU,SPOILT BALLOT PAPERS,,,,8,,,26 NOV 1962,16 DEC 1962
1962JTB11,JESSELTON TOWN BOARD,TANJONG ARU,TOTAL BALLOTS ISSUED,,,,1045,,,26 NOV 1962,16 DEC 1962
1962JTB12,JESSELTON TOWN BOARD,TANJONG ARU,TOTAL ELECTORATE,,,,1284,,,26 NOV 1962,16 DEC 1962
1962JTB13,JESSELTON TOWN BOARD,TANJONG ARU,TURNOUT (%),,,,80.8,,,26 NOV 1962,16 DEC 1962
1962STB1,SANDAKAN TOWN BOARD,MAN WOO-BEATRICE,SAP,NGUI AH KUI,,,909,WON,,26 NOV 1962,16 DEC 1962
1962STB2,SANDAKAN TOWN BOARD,MAN WOO-BEATRICE,INDEPENDENT,NG PENG KONG,,,56,LOST,,26 NOV 1962,16 DEC 1962
1962STB3,SANDAKAN TOWN BOARD,MAN WOO-BEATRICE,SPOILT BALLOT PAPERS,,,,0,,,26 NOV 1962,16 DEC 1962
1962STB4,SANDAKAN TOWN BOARD,MAN WOO-BEATRICE,TOTAL BALLOTS ISSUED,,,,965,,,26 NOV 1962,16 DEC 1962
1962STB5,SANDAKAN TOWN BOARD,MAN WOO-BEATRICE,TOTAL ELECTORATE,,,,1281,,,26 NOV 1962,16 DEC 1962
1962STB6,SANDAKAN TOWN BOARD,MAN WOO-BEATRICE,TURNOUT (%),,,,75.9,,,26 NOV 1962,16 DEC 1962
1962STB7,SANDAKAN TOWN BOARD,MELANTAH-SEBUGA NORTH,SAP,FRANCIS HO NYEN CHUNG,MALE,,882,WON,,26 NOV 1962,16 DEC 1962
1962STB8,SANDAKAN TOWN BOARD,MELANTAH-SEBUGA NORTH,INDEPENDENT,PHILIP PANG AH CHOI,MALE,,418,LOST,,26 NOV 1962,16 DEC 1962
1962STB9,SANDAKAN TOWN BOARD,MELANTAH-SEBUGA NORTH,SPOILT BALLOT PAPERS,,,,30,,,26 NOV 1962,16 DEC 1962
1962STB10,SANDAKAN TOWN BOARD,MELANTAH-SEBUGA NORTH,TOTAL BALLOTS ISSUED,,,,1330,,,26 NOV 1962,16 DEC 1962
1962STB11,SANDAKAN TOWN BOARD,MELANTAH-SEBUGA NORTH,TOTAL ELECTORATE,,,,1583,,,26 NOV 1962,16 DEC 1962
1962STB12,SANDAKAN TOWN BOARD,MELANTAH-SEBUGA NORTH,TURNOUT (%),,,,84,,,26 NOV 1962,16 DEC 1962
1962STB13,SANDAKAN TOWN BOARD,ROBERTSON-TRIG HILL,BUNAP,YAP PAK LEONG,MALE,27,,WON,Y,26 NOV 1962,UNCONTESTED
1962STB14,SANDAKAN TOWN BOARD,HAPPY VALLEY-KAMPONG GELAM,BUNAP,TAN TZE SHU,MALE,,,WON,Y,26 NOV 1962,UNCONTESTED
1962STB15,SANDAKAN TOWN BOARD,CENTRAL-SIM SIM,SAP,KHOO SIAK CHIEW,MALE,43,2526,WON,,26 NOV 1962,16 DEC 1962
1962STB16,SANDAKAN TOWN BOARD,CENTRAL-SIM SIM,INDEPENDENT,HENRY WEE CHONG HIN,MALE,,717,LOST,,26 NOV 1962,16 DEC 1962
1962STB17,SANDAKAN TOWN BOARD,CENTRAL-SIM SIM,SPOILT BALLOT PAPERS,,,,62,LOST,,26 NOV 1962,16 DEC 1962
