LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,PMIP,KHADJIAH BTI. ABDULLAH,FEMALE,,77,LOST,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,ALLIANCE - UMNO,ISMAIL BIN YUSOFF,MALE,,113,WON,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,PMIP,MOHD. AMIN HJ. YAAKUB,MALE,,78,LOST,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,ALLIANCE - UMNO,MOHD. NOOR BIN AWANG,MALE,,111,WON,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,PMIP,CHE MAHMOOD BIN ISMAIL,MALE,,66,LOST,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,ALLIANCE - UMNO,HAMZAH BIN SALLEH,MALE,,107,WON,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,REJECTED BALLOT PAPERS,,,,7,,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,TOTAL ELECTORATE,,,,221,,
LOCAL AUTHORITY AREA OF BACHOK,PANTAI IRAMA WARD,TURNOUT (%),,,,88.2,,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,ALLIANCE - MCA,CHENG HOCK SENG,,,75,LOST,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,PMIP,HASSAN BIN YUSOFF,MALE,,82,WON,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,PMIP,IBRAHIM BIN DAUD,MALE,,80,WON,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,PMIP,FAUZI BIN YAAKUB,MALE,,83,WON,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,ALLIANCE - UMNO,NIK ZAWAHIR BTI. WAN OMAR,FEMALE,,76,LOST,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,ALLIANCE - UMNO,HALIMAH BTI SAID,FEMALE,,74,LOST,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,REJECTED BALLOT PAPERS,,,,4,,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,TOTAL ELECTORATE,,,,190,,
LOCAL AUTHORITY AREA OF BACHOK,NYIOR CHABANG WARD,TURNOUT (%),,,,87.4,,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,ALLIANCE - UMNO,MOHD. SALLEH BIN JUSOH,MALE,,92,WON,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,PMIP,CHE MUSA BIN YUSOFF,MALE,,64,LOST,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,ALLIANCE - UMNO,WAN HARUN BIN WAN SALLAEH,MALE,,92,WON,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,PMIP,HUSSIN BIN MAT ZAIN,MALE,,62,LOST,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,NEGARA,ISHAK BIN ABDUL RAHMAN,MALE,,64,LOST,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,ALLIANCE - UMNO,OTHMAN BIN KUNDOR,MALE,,91,WON,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,REJECTED BALLOT PAPERS,,,,4,,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,TOTAL ELECTORATE,,,,174,,
LOCAL AUTHORITY AREA OF BACHOK,NIPAH WARD,TURNOUT (%),,,,92.5,,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,PMIP,AHMAD BIN ABDUL RAHMAN,MALE,,85,LOST,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,ALLIANCE - UMNO,IBRAHIM BIN MOHAMED,MALE,,185,WON,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,ALLIANCE - UMNO,HJ. T. YAACOB BIN E. YUNUS,MALE,,179,WON,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,ALLIANCE - MCA,AU TEE TUAN,,,177,WON,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,PMIP,W. ABDULLAH BIN W. AHMAD,MALE,,91,LOST,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,PMIP,MUSTAPHA BIN AHMAD,MALE,,88,LOST,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,REJECTED BALLOT PAPERS,,,,3,,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,TOTAL BALLOTS ISSUED,,,,,,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,TOTAL ELECTORATE,,,,383,,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR BHARU WARD,TURNOUT (%),,,,73.37,,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR LAMA WARD,ALLIANCE - UMNO,HJ. MOHAMED BIN HJ. HARUN,MALE,,207,WON,
LOCAL AUTHORITY AREA OF MACHANG,BANDAR LAMA WARD,ALLIANCE - UMNO,YAACOB BIN ISMAIL,MALE,,208,WON,
