LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF KUALA PILAH,PEKAN LAMA WARD,ALLIANCE - MCA,CHOONG FOO KHIN,,,311,WON,
LOCAL AUTHORITY AREA OF KUALA PILAH,PEKAN LAMA WARD,SF,ISMAIL BIN IBRAHIM,MALE,,102,LOST,
LOCAL AUTHORITY AREA OF KUALA PILAH,PEKAN LAMA WARD,REJECTED BALLOT PAPERS,,,,18,,
LOCAL AUTHORITY AREA OF KUALA PILAH,PEKAN LAMA WARD,TOTAL BALLOTS ISSUED,,,,431,,
LOCAL AUTHORITY AREA OF KUALA PILAH,PEKAN LAMA WARD,TOTAL ELECTORATE,,,,561,,
LOCAL AUTHORITY AREA OF KUALA PILAH,PEKAN LAMA WARD,TURNOUT (%),,,,76.83,,
LOCAL AUTHORITY AREA OF KUALA PILAH,YAM TUAN WARD,ALLIANCE - MCA,CHENG KHAI TIT,,,151,LOST,
LOCAL AUTHORITY AREA OF KUALA PILAH,YAM TUAN WARD,UDP,CHAI TAK HAN,,,219,WON,
LOCAL AUTHORITY AREA OF KUALA PILAH,YAM TUAN WARD,REJECTED BALLOT PAPERS,,,,31,,
LOCAL AUTHORITY AREA OF KUALA PILAH,YAM TUAN WARD,TOTAL BALLOTS ISSUED,,,,401,,
LOCAL AUTHORITY AREA OF KUALA PILAH,YAM TUAN WARD,TOTAL ELECTORATE,,,,480,,
LOCAL AUTHORITY AREA OF KUALA PILAH,YAM TUAN WARD,TURNOUT (%),,,,81.46,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TEBAT KERING WARD,ALLIANCE - UMNO,YAHAYA BIN AHMAD,MALE,,207,WON,
LOCAL AUTHORITY AREA OF KUALA PILAH,TEBAT KERING WARD,UDP,KOK LEONG YIN,,,183,LOST,
LOCAL AUTHORITY AREA OF KUALA PILAH,TEBAT KERING WARD,REJECTED BALLOT PAPERS,,,,16,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TEBAT KERING WARD,TOTAL BALLOTS ISSUED,,,,406,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TEBAT KERING WARD,TOTAL ELECTORATE,,,,491,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TEBAT KERING WARD,TURNOUT (%),,,,80.65,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TENGKU BESAR WARD,SF,PUPALU PILLAI,MALE,,108,LOST,
LOCAL AUTHORITY AREA OF KUALA PILAH,TENGKU BESAR WARD,ALLIANCE - MIC,K. MUTHIAH,MALE,,266,WON,
LOCAL AUTHORITY AREA OF KUALA PILAH,TENGKU BESAR WARD,REJECTED BALLOT PAPERS,,,,2,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TENGKU BESAR WARD,TOTAL BALLOTS ISSUED,,,,376,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TENGKU BESAR WARD,TOTAL ELECTORATE,,,,492,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TENGKU BESAR WARD,TURNOUT (%),,,,76.42,,
LOCAL AUTHORITY AREA OF KUALA PILAH,TAMAN BUNGA WARD,ALLIANCE - MCA,LEE TIOW HEONG,,,,WON,Y
LOCAL AUTHORITY AREA OF KUALA PILAH,KAMPONG DIOH WARD,ALLIANCE - MCA,HO HONG YEOW,,,,WON,Y
LOCAL AUTHORITY AREA OF KUALA PILAH,SAWAH LEBAR WARD,ALLIANCE - UMNO,MAAROF BIN ALI,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF KUALA PILAH,BUKIT TEMENSU WARD,ALLIANCE - MCA,CHAN CHUN YING,,,,WON,Y
LOCAL AUTHORITY AREA OF KUALA PILAH,KAMPONG JAWA WARD,ALLIANCE - UMNO,ABD. KADIR BIN ABDULLAH,MALE,,,WON,Y
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,UDP,THAM MENG LAI,,,206,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,ALLIANCE - MCA,CHAN CHEE CHEONG,,,259,LOST,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,INDEPENDENT,LAM SOO HAE,,,118,LOST DEPOSIT,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,SF,P. GURNAM SINGH GILL,MALE,,599,WON,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,REJECTED BALLOT PAPERS,,,,27,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,TOTAL BALLOTS ISSUED,,,,1209,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,TOTAL ELECTORATE,,,,1557,,
LOCAL AUTHORITY AREA OF SEREMBAN,LOBAK DALAM WARD,TURNOUT (%),,,,77.65,,
