LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,SF,MOHD. ARSHAD BIN MOHD. YUSOFF,MALE,,1602,LOST,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,UDP,LIM YEW CHOW,,,1546,LOST,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,ALLIANCE - UMNO,M.S.A. ZACHARIAH,MALE,,1655,WON,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,REJECTED BALLOT PAPERS,,,,103,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,TOTAL BALLOTS ISSUED,,,,4906,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,TOTAL ELECTORATE,,,,6492,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PADANG BROWN WARD,TURNOUT (%),,,,75.6,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,ALLIANCE - MCA,HO BOON CHOO,MALE,,1266,LOST,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,SF,LIM KEAN SIEW,MALE,,1827,LOST,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,UDP,TEH EWE LIM,MALE,,1861,WON,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,REJECTED BALLOT PAPERS,,,,67,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,TOTAL BALLOTS ISSUED,,,,5021,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,TOTAL ELECTORATE,,,,6408,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KAMPONG MANGGIS WARD,TURNOUT (%),,,,78.3,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,ALLIANCE - MCA,SOON KIM SIAH,,,514,LOST DEPOSIT,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,UDP,KHOO KAY POR,,,1606,LOST,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,SF,LOH BAN HIN,,,2137,WON,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,REJECTED BALLOT PAPERS,,,,51,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,TOTAL BALLOTS ISSUED,,,,4308,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,TOTAL ELECTORATE,,,,5072,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",PRANGIN WARD,TURNOUT (%),,,,84.92,,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KILANG PAPAN WARD,SF,CHIN LEAN LYE,,,2073,WON,
"LOCAL AUTHORITY AREA OF CITY COUNCIL OF GEORGE TOWN, PENANG",KILANG PAPAN WARD,UDP,CHOONG WAH THEAM @ CHUNG WAH THEAM,,,1137,LOST,
