LOCAL AUTHORITY AREA,LOCAL AUTHORITY WARD,COALITION/PARTY/VOTE CATEGORY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,VOTES,STATUS,UNCONTESTED VICTORY
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING UTARA WARD,ALLIANCE - MCA,LEE AH PAK,,,724,WON,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING UTARA WARD,UDP,LAKSHMINARAYA NAIDU,MALE,,146,LOST,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING UTARA WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING UTARA WARD,TOTAL BALLOTS ISSUED,,,,885,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING UTARA WARD,TOTAL ELECTORATE,,,,1092,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING UTARA WARD,TURNOUT (%),,,,81,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING SELATAN WARD,UDP,LIM ENG KEAT,,,328,WON,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING SELATAN WARD,ALLIANCE - MCA,FOONG CHEOK WAI,,,235,LOST,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING SELATAN WARD,REJECTED BALLOT PAPERS,,,,9,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING SELATAN WARD,TOTAL BALLOTS ISSUED,,,,572,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING SELATAN WARD,TOTAL ELECTORATE,,,,889,,
LOCAL AUTHORITY AREA OF TAIPING,KAMUNTING SELATAN WARD,TURNOUT (%),,,,64.3,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,INDEPENDENT,N. M. KRISHNAN,MALE,,538,WON,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,ALLIANCE - UMNO,SULAIMAN BIN DRUS,MALE,,401,LOST,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,REJECTED BALLOT PAPERS,,,,25,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,TOTAL BALLOTS ISSUED,,,,964,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,TOTAL ELECTORATE,,,,1500,,
LOCAL AUTHORITY AREA OF TAIPING,STATION WARD,TURNOUT (%),,,,64.3,,
LOCAL AUTHORITY AREA OF TAIPING,ASSAM KUMBANG WARD,ALLIANCE - UMNO,ZAINAL BIN MAT,MALE,,393,WON,
LOCAL AUTHORITY AREA OF TAIPING,ASSAM KUMBANG WARD,UDP,A. BAKAR BIN ISMAIL,MALE,,280,LOST,
LOCAL AUTHORITY AREA OF TAIPING,ASSAM KUMBANG WARD,REJECTED BALLOT PAPERS,,,,10,,
LOCAL AUTHORITY AREA OF TAIPING,ASSAM KUMBANG WARD,TOTAL BALLOTS ISSUED,,,,683,,
LOCAL AUTHORITY AREA OF TAIPING,ASSAM KUMBANG WARD,TOTAL ELECTORATE,,,,1111,,
LOCAL AUTHORITY AREA OF TAIPING,ASSAM KUMBANG WARD,TURNOUT (%),,,,61.5,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,INDEPENDENT,PACHIK BIN AHMAD,MALE,,504,WON,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,ALLIANCE - UMNO,MOHD. ISMAIL BIN HJ. ABDULLAH,MALE,,213,LOST,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,REJECTED BALLOT PAPERS,,,,29,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,TOTAL BALLOTS ISSUED,,,,746,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,TOTAL ELECTORATE,,,,1057,,
LOCAL AUTHORITY AREA OF TAIPING,KAMPONG BOYAN WARD,TURNOUT (%),,,,70.6,,
LOCAL AUTHORITY AREA OF TAIPING,KOTA WARD,UDP,SAW CHIN HIN,,,504,WON,
LOCAL AUTHORITY AREA OF TAIPING,KOTA WARD,ALLIANCE - MCA,YONG SOON CHONG,,,257,LOST,
LOCAL AUTHORITY AREA OF TAIPING,KOTA WARD,REJECTED BALLOT PAPERS,,,,15,,
LOCAL AUTHORITY AREA OF TAIPING,KOTA WARD,TOTAL BALLOTS ISSUED,,,,776,,
