STATE,ALLIANCE (VOTE),SF (VOTES),PMIP (VOTES),PPP (VOTES),NEGARA (VOTES),UDP (VOTES),INDEPENDENTS (VOTES),TOTAL VOTES CAST,TOTAL NUMBER OF BALLOT PAPER CAST,REJECTED BALLOT PAPERS,TOTAL ELECTORATE FOR CONTESTED WARDS,ALLIANCE (VOTE),SF (SEATS),PMIP (SEATS),PPP (SEATS),NEGARA (SEATS),UDP (SEATS),INDEPENDENTS (SEATS),ALLIANCE (LOST DEPOSIT),SF (LOST DEPOSIT),PMIP (LOST DEPOSIT),PPP (LOST DEPOSIT),NEGARA (LOST DEPOSIT),UDP (LOST DEPOSIT),INDEPENDENTS (LOST DEPOSIT)
PERLIS,1769,,105,,,,831,2728,2728,23,3407,12,,,,,,,,,,,,,
KEDAH,10030,6342,523,,,3556,255,20992,20045,286,28827,27,9,,,,5,,,,,,,,
KELANTAN,23055,68,17317,,64,,12,40839,17238,323,25253,52,,14,,,,,,,,,,,1
TRENGGANU,9677,1287,1770,,6910,,418,20435,20435,373,29809,28,3,2,,7,,1,,1,1,,1,,3
PENANG,73408,57884,4504,1438,,27209,3936,171732,171732,3353,218997,45,22,,,,3,2,2,3,1,,,7,1
PERAK,35738,5302,,35019,,3330,1711,82439,77707,1339,111166,57,9,,18,,5,4,,,,,,,
PAHANG,8323,5013,43,,,1222,391,15259,15259,267,19874,56,7,,,,3,2,,,,,,,
SELANGOR,8664,7337,,3410,,,1091,20845,20845,343,27718,7,4,,,,,1,,,,3,,,
NEGRI SEMBILAN,5481,3472,,38,,3840,2902,16021,16021,288,20573,13,4,,,,5,2,,1,,1,,,3
MALACCA,48895,19712,5928,288,,771,362,77336,77336,1380,97267,57,8,,,,,,,1,,2,,3,
JOHORE,27092,19582,702,258,,4812,3044,56361,56361,871,72975,57,22,,,,2,5,,,,6,,3,
GRAND TOTAL,252132,125999,30892,40451,6974,44740,14953,524987,495707,8846,655866,411,88,16,18,7,23,17,2,6,2,12,1,13,8
