COUNCIL,DIVISION,WARD NUMBER,WARD NAME,COALITION/PARTY,CANDIDATE NAME,CANDIDATE SEX,CANDIDATE AGE,CANDIDATE VOTES,STATUS,UNCONTESTED VICTORY
BAU DISTRICT COUNCIL,FIRST DIVISION,1,JAGOI,ALLIANCE,NYABONG PA DORIS,MALE,,,WON,Y
BAU DISTRICT COUNCIL,FIRST DIVISION,1,JAGOI,ALLIANCE,MIGEN ANAK MESENG,MALE,,,WON,Y
BAU DISTRICT COUNCIL,FIRST DIVISION,2,KROKONG/TRINGGUS,ALLIANCE,RADON ANAK GAMOI,MALE,,159,WON,N
BAU DISTRICT COUNCIL,FIRST DIVISION,2,KROKONG/TRINGGUS,ALLIANCE,SAWANG ANAK MIDIR,MALE,,97,LOST,N
BAU DISTRICT COUNCIL,FIRST DIVISION,3,BUSO,SUPP,LOO FOO NAM,MALE,,228,WON,N
BAU DISTRICT COUNCIL,FIRST DIVISION,3,BUSO,ALLIANCE,LIEW NAM KHIN,MALE,,41,LOST,N
BAU DISTRICT COUNCIL,FIRST DIVISION,4,BUSO/MUSI,SUPP,BONG MUK SING,MALE,,135,WON,N
BAU DISTRICT COUNCIL,FIRST DIVISION,4,BUSO/MUSI,PANAS,BUANG BIN MINUN,MALE,,43,LOST,N
BAU DISTRICT COUNCIL,FIRST DIVISION,4,BUSO/MUSI,INDEPENDENT,FOO KIM SIEW,MALE,,3,LOST DEPOSIT,N
BAU DISTRICT COUNCIL,FIRST DIVISION,4,BUSO/MUSI,ALLIANCE,HAJI DAHLAN BIN BOJENG,MALE,,10,LOST,N
BAU DISTRICT COUNCIL,FIRST DIVISION,5,SERUMBU,ALLIANCE,SALAU PA NYAUN,MALE,,350,WON,N
BAU DISTRICT COUNCIL,FIRST DIVISION,5,SERUMBU,INDEPENDENT,JOHN LOYAR,MALE,,294,WON,N
BAU DISTRICT COUNCIL,FIRST DIVISION,5,SERUMBU,ALLIANCE,TINGO ANAK MINGES,MALE,,234,LOST,N
BAU DISTRICT COUNCIL,FIRST DIVISION,5,SERUMBU,ALLIANCE,BELI ANAK BAIS,MALE,,121,LOST,N
BAU DISTRICT COUNCIL,FIRST DIVISION,5,SERUMBU,INDEPENDENT,ASEN ANAK MUNJIM,MALE,,109,LOST,N
